Наличие,Наименование,Кол-во,Категория,Комната,Приоритет
No,Холодильник,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Плита и духовка,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Микроволновка,1,Бытовая техника,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Контейнеры для хранения еды,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Широкая тарелка,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Вилка,6,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Блюдце,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Ложка столовая,6,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Графин для воды,1,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Кружка,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Глубокая тарелка,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Кастрюля,3,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Ложка чайная,6,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Сковородка,2,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Стакан,4,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Салатница (миска),2,Посуда,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Ведро для мытья полов,1,Уборка,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Швабра,1,Уборка,../%D0%92%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F%20%D0%B8%20%D1%82%D1%83%D0%B0%D0%BB%D0%B5%D1%82%2085bd7142c2414136b0f88e5138a397b7.csv,Жизненно важные
No,Мусорное ведро,1,Уборка,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
No,Средство для мытья посуды,1,Уборка,../%D0%9A%D1%83%D1%85%D0%BD%D1%8F%205f3ed5f86d18441daed6bbb4c6c04dd3.csv,Жизненно важные
