Название,Автор,Обложка,Статус,Дата добавления,Жанр,Комментарий,Связь - Книги,Ссылка,Темы
Последнее желание,Анджей Сапковский,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/19487529-andzhey-sapkovskiy-poslednee-zhelanie.jpg,В планах,"September 28, 2022 1:53 AM",Развлекательная литература,,,https://www.litres.ru/andzhey-sapkovskiy/poslednee-zhelanie/,
Собака Баскервилей,Артур Конан Дойл,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_330/8521287-arthur-konan-doyle-sobaka-baskerviley-8521287.jpg,В планах,"September 28, 2022 1:54 AM",Развлекательная литература,,,https://www.litres.ru/arthur-konan-doyle/sobaka-baskerviley-8521287/,
Хроника Убийцы Короля. День второй. Страхи мудреца. Том 1,Патрик Ротфусс,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/39474752-patrik-rotfuss-hronika-ubiycy-korolya-den-vtoroy-strahi-mudreca-tom-1.jpg,В планах,"September 28, 2022 1:54 AM",Развлекательная литература,,,https://www.litres.ru/patrik-rotfuss/hronika-ubiycy-korolya-den-vtoroy-strahi-mudreca-tom-1/,
Золотые костры,Алексей Пехов,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/4606230-aleksey-pehov-zolotye-kostry.jpg,В планах,"September 28, 2022 1:55 AM",Развлекательная литература,,,https://www.litres.ru/aleksey-pehov/zolotye-kostry/,
Проклятый горн,Алексей Пехов,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_415/6721117-aleksey-pehov-proklyatyy-gorn.jpg,В планах,"September 28, 2022 1:55 AM",Развлекательная литература,,,https://www.litres.ru/aleksey-pehov/proklyatyy-gorn/,
Избранное,Эдуард Асадов,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/132592-eduard-asadov-izbrannoe.jpg,В планах,"September 28, 2022 1:55 AM",Развлекательная литература,,,https://www.litres.ru/eduard-asadov/izbrannoe/,
Отверженные,Виктор Мари Гюго,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_415/129942-viktor-mari-gugo-otverzhennye.jpg,В планах,"September 28, 2022 1:56 AM",Развлекательная литература,,,https://www.litres.ru/viktor-mari-gugo/otverzhennye/,
Этюд в багровых тонах (спектакль),Артур Конан Дойл,https://cv9.litres.ru/pub/c/audiokniga/cover_415/5311697-arthur-konan-doyle-etud-v-bagrovyh-tonah-spektakl-5311697.jpg,В планах,"September 28, 2022 1:56 AM",Развлекательная литература,,,https://www.litres.ru/arthur-konan-doyle/etud-v-bagrovyh-tonah-spektakl-5311697/,
Книжный вор,Маркус Зусак,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/9308621-markus-zusak-2-knizhnyy-vor.jpg,В планах,"September 28, 2022 1:56 AM",Развлекательная литература,,,https://www.litres.ru/markus-zusak-2/knizhnyy-vor/,
Мастер и Маргарита,Михаил Булгаков,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/129095-mihail-bulgakov-master-i-margarita.jpg,В планах,"September 28, 2022 1:58 AM",Развлекательная литература,,,https://www.litres.ru/mihail-bulgakov/master-i-margarita/,
